Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","74.660462","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","75.867314","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","77.272815","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","76.706643","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","76.453348","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","76.547707","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","76.433487","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","77.635362","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","78.936581","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","80.103711","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","79.363648","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","79.025963","X","Figure from external organization","base year is 2015"
